No,username,country,math,implementation,geometry,bitmasks,brute force,binary search,dp,greedy,chinese remainder theorem,fft,sortings,number theory,constructive algorithms,trees,matrices,divide and conquer,probabilities,dfs and similar,data structures,flows,meet-in-the-middle,games,graphs,shortest paths,hashing,strings,combinatorics,interactive,dsu,graph matchings,two pointers,string suffix structures,2-sat,expression parsing,*special,ternary search,schedules,total
1,flashmt,Vietnam,81797.33214,106837.8238,13434.43333,12914.98333,52219.16429,31014.26786,90998.04405,95549.50714,248,1228,41945.64286,26661.19643,52046.16429,20112.29643,3478.75,4247.183333,6321.95,26689.79643,51287.14405,1826,2145.433333,10745.08333,28911.53452,9905.966667,5765.133333,24535.99286,22019.85,4409.366667,8072.983333,3320.183333,16082.55952,1374,549.6,1093.333333,201259.5333,3643.866667,0.5,1064692.6
2,Kuroni,Vietnam,38858.13571,35474.53571,6584.25,6937.933333,16763.25,8387.635714,29764.26905,30694.23571,972,425.5,13360.26905,9951.766667,24998.38571,12683.85,664.6666667,2783.433333,2186.45,11912.93333,31034.20476,959.4,200,3237.333333,15082.75238,4055.083333,3163.535714,7782.152381,9547.533333,2860.866667,3949.916667,768.85,4715.752381,495.202381,227.25,38.33333333,376,650.3333333,0,342548
3,phongthan,Vietnam,4562.985714,2364.285714,1529.333333,962.6666667,2438.666667,2188.285714,2062.833333,4171.452381,495.6666667,495.6666667,1857.666667,1261.366667,2140.2,1034.285714,222.5,314.5,362.2,279,1499.952381,0.333333333,0,1986,761.5333333,120,0,248,1133,1,279,148.2857143,1159.333333,0,0,0,0,0,0,36080
4,MofK,Vietnam,39552.2381,41782.13571,5211.5,6889.9,16010.53333,11385.27381,26577.17143,32381.44048,446,430,14017.92381,11917.33333,24879.1381,9210.335714,287.5,1147.583333,2709.416667,9660.635714,20332.94048,712.25,798.25,2722.333333,11268.00714,2802.583333,2824.952381,5520.952381,12769.83333,2603.333333,2749.366667,50,3854.619048,244.2857143,0.333333333,178.4,0,998.5,0,324927
5,Maripium,Vietnam,31683.57381,27988.05952,5094.5,6229.892857,12070.24286,9101.404762,22493.52857,22273.20714,815.3333333,403.45,11739.59524,11849.23333,21848.86905,7748.914286,2113.833333,2359.133333,1086.5,5765.690476,19662.58095,225.6666667,338.25,1920.416667,7984.297619,1197.859524,2585.735714,5872.785714,7810.583333,1834.166667,2383.616667,146.5714286,4445.554762,574.952381,0,0,70,0,0,259718
6,tanphatls987,Vietnam,125706.7405,108050.1643,9688.733333,8277.116667,35564.07619,26902.9619,61243.08333,73082.36667,219,149,28087.62143,14554.61667,38825.75714,17712.55,2241.9,3133.25,66741.83333,21683.45714,54682.17619,1352.25,2066.083333,4700.2,22410.94286,7220.17619,5156.416667,18169.1,13639.95,64457.16667,7361.566667,907.2666667,9375.62619,1476.916667,575.5833333,798.7666667,63227.25,714.3333333,100,920256
7,I_love_tigersugar,Vietnam,89816.10909,104953.6857,12950.16667,19596.60909,40048.05433,38079.10433,102108.8758,77778.36147,858.6666667,835,33023.34286,24913.18766,44249.58571,28433.15671,2376.5,6900.333333,9413.683333,35737.20238,70672.3329,4889.35,2105.083333,7535.316667,37195.76905,8611.283333,8769.240476,27418.24957,23917.66667,2592.266667,12104.47576,3324.916667,15351.55,3807.557143,1065.2,1070.333333,476150.9833,2932.75,714,1382299.95
8,Johnny_2002,Vietnam,9537.933333,6810.333333,1370.666667,2579.166667,5008.666667,2957.466667,7813.133333,11635.1,0,0,4291.133333,4898.3,6611.933333,1983.266667,315,505.5,1378,2043.933333,5012,0,0,667.25,2697.766667,1203.166667,290,1284.966667,2763.133333,162.75,1162.8,641.3333333,645.8,290,0,96.5,0,528,0,87185
9,xuanquang1999,Vietnam,63677.39286,85248.53333,22432.08333,9187.82619,39346,24585.45,50276.34286,53997.56667,1300.2,735.1666667,25673.73333,16868.5,40133.67619,16036.27619,809.6,4150.266667,3379.15,21064.15952,37266.32619,2016.483333,852.2333333,3248.666667,23647.93333,7039.966667,3301.5,18065.83333,13150.66667,2545.7,5122.366667,187.5,11097.81667,1155,574.3333333,787.1666667,902.9166667,2937.666667,225,613027
10,thjchph4trjnh,Vietnam,12340.61905,11022.30714,2890.166667,4394.466667,4071.383333,5645.87619,13693.63333,14724.98571,247,329.0833333,5575.904762,3289.333333,7230.819048,3155.533333,375.3333333,963,908.25,4731.878571,12823.90952,356.8333333,225,2030.333333,5673.67619,593.5,2009.5,3273.666667,3920.416667,133.25,1601.116667,1308.166667,2960.390476,443.1666667,540.5,100,0,375,0,133958
